635,60,60,60,60,60,60,60,60,60,60,60,60,60,60,635
629,636,636,636,636,636,636,636,636,636,636,636,636,636,636,620
635,610,610,610,610,610,610,638,641,645,610,610,610,610,610,635
635,622,622,622,622,622,622,614,623,613,622,622,622,622,622,635
69,631,632,612,612,612,612,617,612,616,612,612,612,631,632,635
628,633,634,612,612,612,612,612,612,612,612,612,612,633,634,635
67,612,612,612,612,612,612,612,612,612,612,612,612,612,612,635
612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,635
612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,635
612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,635
636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,637
610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610
