60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636
610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610
622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622
612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612
612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612
61,636,636,636,636,636,636,636,636,636,636,636,636,636,636,61
635,610,610,610,610,610,610,610,610,610,610,610,610,610,610,635
635,622,622,622,622,622,622,622,622,622,622,622,622,622,622,635
635,612,612,612,612,619,612,612,612,612,612,612,612,612,612,635
635,612,612,612,612,612,612,612,612,612,612,612,612,612,612,635
629,636,636,636,636,644,612,612,612,612,640,636,636,636,636,620
EAST,max_map/donjon/level2,A3.txt,WEST,max_map/donjon/level2,A1.txt,NPC,OOBMBM,
