640,636,636,636,636,636,636,636,636,636,636,636,636,636,636,644
635,610,610,610,610,610,610,610,610,610,610,610,610,610,610,635
635,622,622,622,622,622,622,622,622,622,622,622,622,622,622,635
635,631,632,612,612,639,627,627,627,634,612,612,612,631,632,635
635,633,634,612,612,624,611,611,611,626,612,612,612,633,634,635
635,612,612,612,612,624,611,611,611,626,612,612,612,612,612,635
635,612,612,612,612,63,65,630,63,68,612,612,612,612,612,635
635,612,612,612,612,612,612,612,612,612,612,612,612,612,612,635
635,612,612,612,612,612,612,612,612,612,612,612,612,612,612,635
635,612,612,612,612,612,612,612,612,612,612,612,612,612,612,635
64,636,636,636,636,636,647,612,646,636,636,636,636,636,636,69
621,610,610,610,610,610,628,612,621,610,610,610,610,610,610,628
SOUTH, donjon1.txt
