26,27,26,27,25,20,81,83,84,22,24,26,27,26,27,26
20,112,110,111,27,26,82,0,85,27,26,112,110,110,111,22
26,19,113,13,110,110,111,00,112,110,110,11,113,113,18,27
20,19,113,113,113,113,18,00,17,113,15,113,113,113,18,22
26,19,113,113,113,113,18,00,00,00,00,19,113,113,16,27
20,17,113,13,113,113,15,10,110,11,00,17,13,16,01,02
26,412,411,411,411,411,411,412,19,18,00,00,00,00,00,02
20,411,119,44,45,43,119,411,19,13,110,110,110,11,111,22
26,112,119,41,42,40,119,113,113,113,113,113,113,113,18,27
20,17,119,410,46,410,119,113,113,113,113,113,13,113,16,22
25,20,17,16,03,17,15,15,13,15,15,15,15,16,03,27
24,25,20,22,20,22,20,22,20,22,20,22,20,22,20,22
